ID;titolo_articolo;data_pubblicazione;template_articolo;context;maintax;category;post_tag;geo;staff
313143;Le niveau de vie en Iran a stagné depuis le début des années 2010;2026-01-14 12:40:22;templates/post-briefings.php;ops;category;Données qui changent la donne;NULL;Asie Intermédiaire;NULL
313089;Économie russe : les revenus pétroliers et gaziers devraient représenter 22 % du budget cette année — deux fois moins qu’en 2022;2026-01-14 06:30:00;templates/post-briefings.php;ops;geo;Énergie et environnement;NULL;Asie septentrionale;NULL
313099;Théorie et pratique du changement de régime : une bibliographie maudite;2026-01-14 06:00:00;templates/post-angles.php;cult;category;Livres;NULL;Europe;NULL
313059;Les États-Unis et la Chine sont en retard sur l'Europe en matière d'adoption de l'IA;2026-01-13 17:44:34;templates/post-briefings.php;ops;category;Numérique;NULL;Monde;NULL
313020;Quels seraient les pays exposés aux tarifs de Trump pour leur commerce avec l’Iran ?;2026-01-13 10:40:27;templates/post-briefings.php;ops;category;Économie;NULL;Monde;NULL
312944;Iran : quelles sont les «options» considérées par Trump contre le régime ?;2026-01-13 06:30:00;templates/post-briefings.php;ops;geo;Uncategorised;NULL;Asie Intermédiaire;NULL
312951;Qui est Reza Pahlavi, le fils du shah qui se prépare à devenir vice-roi en Iran ?;2026-01-13 06:00:00;templates/post-studies.php;cult;category;Politique;NULL;Asie Intermédiaire;Alex Shams
312932;Économie russe : l’Inde pourrait remplacer le pétrole russe par du brut vénézuélien;2026-01-12 19:06:51;templates/post-briefings.php;ops;geo;Énergie et environnement;NULL;Asie septentrionale;NULL
312895;L’Église face aux prédateurs : Léon XIV et le moment augustinien;2026-01-12 18:52:34;templates/post-speeches.php;cult;category;Religion;NULL;Europe;Jean-Benoît Poulle
312881;La guerre russe contre l’Ukraine a dépassé la durée de la guerre entre le Troisième Reich et l’Union soviétique;2026-01-12 15:27:19;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
312842;«Le public doit primer sur l’arbitraire du président» : Jerome Powell contre Donald Trump ;2026-01-12 08:31:03;templates/post-speeches.php;cult;category;Économie;NULL;Amériques;Le Grand Continent
312818;Iran : ce que l'on sait de l'ampleur des manifestations, de la répression du régime et d'une possible intervention des États-Unis;2026-01-12 07:07:27;templates/post-briefings.php;ops;geo;Uncategorised;NULL;Asie Intermédiaire;NULL
312762;Décoloniser l’Europe : briser le tabou atlantiste;2026-01-12 06:00:00;templates/post-editorials.php;cult;category;L'Europe face à Trump : que faire ?;NULL;Europe;Ludovic Tournès
312802;Sommes-nous entrés dans une nouvelle course aux armes nucléaires ?;2026-01-11 18:59:08;templates/post-angles.php;cult;category;Guerre;NULL;Monde;Paul Josephson
312769;Cinq points sur le duel dans le Golfe entre MBS et MBZ;2026-01-11 06:45:00;templates/post-briefings.php;ops;geo;Politique;NULL;Asie Intermédiaire;Guillaume Duval
312646;«Je ne serais pas surpris que Houellebecq m’ait influencé», une conversation avec David Szalay, auteur de «Chair»;2026-01-11 06:00:00;templates/post-interviews.php;cult;category;Littérature;NULL;Europe;Virginie Bloch-Lainé
312663;Pourquoi l’armée russe utilise-t-elle des chevaux sur le front ukrainien, 80 ans après y avoir renoncé ?;2026-01-10 06:30:00;templates/post-briefings.php;ops;category;La guerre en Ukraine au jour le jour;NULL;Europe;NULL
312617;La doctrine Muselier : un moment gaullien pour résister à Trump au Groenland;2026-01-10 06:00:00;templates/post-studies.php;cult;category;L'Europe face à Trump : que faire ?;NULL;Amériques;Raphaël Llorca
